Anonymisation;4. SexeVerifieParLeDiplome;14. AnneeDiplomeVerifieParLeDiplome;15. ActiviteActuelle;27. EmploiLieuRegionEtranger;28. EmploiLieuPaysTerritoire;30. Option_EmploiMoisOccupation;32. EmploiContrat;34. EmploiContratAutre;35. EmploiCadre;36. EmploiTempsPleinPartiel;39. EmploiEntreprise;45. EmploiEntrepriseTaille;48. EmploiEntrepriseSecteurActivite;49. EmploiEntrepriseSecteurAutre;51. EmploiEntrepriseService;52. EmploiEntrepriseServiceDepartementAutre;53. EmploiEntreprisePoste;54. EmploiResponsabilitesHierarchiques;55. EmploiResponsabiliteBudget;56. EmploiResponsabiliteEquipe;57. EmploiResponsabiliteProjet;61. Option_EmploiInternational;62. Option_EmploiInternationalPrecision;63. EmploiSalaireBrutAnnuelHorsPrimes;64. EmploiPrimesBrutOuiNon;65. EmploiPrimesBrutOuiMontant;66. EmploiAvantagesNatureOuiNon;67. EmploiAvantagesNatureOuiMontant;69. EmploiCommentTrouve;72. EmploiCommentTrouveAutre;73. Option_EmploiMoyensRechercheEmploi;76. EmploiCritereChoix;78. EmploiAdequationNiveauQualification;79. EmploiAdequationSecteurDisciplinaire;80. EmploiSatisfaction;81. EmploiSatisfactionConditions;82. EmploiSatisfactionCollegues;83. EmploiSatisfactionRemuneration;84. EmploiSatisfactionAutonomie;85. EmploiSatisfactionLocalisation;86. EmploiChercheAutreEmploi;88. VolontariatType;89. VolontariatTypeAutre;113. TheseType;114. TheseTypeAutre;125. TheseSalaireBrutAnnuelHorsPrimes;126. ThesePrimesBrutOuiNon;127. ThesePrimesBrutOuiMontant;128. TheseAvantagesNatureOuiNon;129. TheseAvantagesNatureOuiMontant;130. TheseSalaireBrutAnnuelAvecPrimes;131. 1erEmploiDecritPrecedemment;134. 1erEmploiLapsPourTrouverApresDiplomeMois;135. Option_EcoleSatisfactionFormation;136. Option_EcoleAccompagnementProjetPro;151. Option_ScolariteCesure;152. Option_ScolariteMoisStage;153. Option_ScolariteMoisStageObligatoire;166. Tableaux_Compteur;167. Tableaux_Sexe;168. Tableaux_Promo;170. Effectifs_Promo;171. Effectifs_PromoSexe;175. Tableaux_BooleenFemmes;177. LieuTravail_FranceEtranger;178. Tableaux_BooleenCDI;190. Tableaux_Booleen1erEmploiMoinsDeuxMois;243. PROGRESSION;249. AnneeEnquete;264. Option_ScolariteFiliereFormation;265. Option_ScolariteSpecialisation
17040;Femme;2017;En activité professionnelle;Occitanie;France (y compris DOM-COM);;CDI (Contrat de travail à durée indéterminée);;Oui;À temps plein;Primum Non Nocere;De 20 à 49 salarié(e)s;Société de conseil ou d'ingénierie, Bureaux d'études indépendants;;Études - Conseil et expertise;;Conseiller développement durable;Non;Non;Non;Oui;Non;;33360;Oui;2000;Oui;500;Stage de fin d'études;;Réseau des anciens élèves;"L'adéquation avec un projet professionnel;La politique globale de relations humaines dans l'entreprise;La politique de responsabilité sociétale de l'entreprise (RSE);Le contenu de la mission / du poste proposé";Oui;Non;Satisfait(e);Satisfait;Satisfait;Ni satisfait ni insatisfait;Très satisfait;Satisfait;Non;;;;;;;;;;;Oui;0;Satisfait(e);Assez utile;Non;13;10;1;Femme;2017;118;69;100;France;100;100;Terminé;2020;DGE;Chimie-Matériaux-Environnement
17040;Femme;2017;En activité professionnelle;Occitanie;France (y compris DOM-COM);;CDI (Contrat de travail à durée indéterminée);;Oui;À temps plein;Primum Non Nocere;De 20 à 49 salarié(e)s;Société de conseil ou d'ingénierie, Bureaux d'études indépendants;;Développement durable, RSE (Responsabilité Sociétale des Entreprises);;Conseillère en développement durable;Non;Oui;Non;Oui;Non;;33360;Oui;1500;Non;;Stage de fin d'études;;"Réseau des anciens élèves;Stage de fin d'études";"L'adéquation avec un projet professionnel;La politique globale de relations humaines dans l'entreprise;La politique de responsabilité sociétale de l'entreprise (RSE);Le contenu de la mission / du poste proposé";Oui;Non;Très satisfait(e);Très satisfait;Satisfait;Satisfait;Très satisfait;Satisfait;Non;;;;;;;;;;;Oui;0;Satisfait(e);Assez utile;Non;13;10;1;Femme;2017;118;69;100;France;100;100;Terminé;2021;DGE;Chimie-Matériaux-Environnement
17040;Femme;2017;En activité professionnelle;Occitanie;France (y compris DOM-COM);53;CDI - y compris de la fonction publique;;Oui;À temps plein;SAS Primum Non Nocere;De 20 à 49 salarié(e)s;Société de conseil ou d'ingénierie - Bureaux d'études indépendants;;Études - Conseil et expertise;;Conseillère en développement durable;Non;Non;Non;Oui;Non;;35000;Oui;3000;Oui;1000;Stage de fin d'études;;"Stage de fin d'études;Réseau des anciens élèves;Candidature spontanée";"L'adéquation avec un projet professionnel;La politique globale de relations humaines dans l'entreprise;La politique de responsabilité sociétale de l'entreprise (RSE);Le contenu de la mission / du poste proposé";Oui;Non;Satisfait(e);Très satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Non;;;;;;;;;;;Oui;0;Satisfait(e);Utile;Non;11;;1;Femme;2017;118;69;100;France;100;100;Terminé;2022;DGE;Chimie-Santé
17103;Homme;2017;En volontariat (VIA, VIE, ...);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Volontariat International en Entreprise;;;;;;;;;;;0;Satisfait(e);Assez utile;Non;11;10;1;Homme;2017;118;49;0;;;;Terminé;2018;MAT;Chimie-Matériaux-Environnement
17103;Homme;2017;En volontariat (VIA, VIE, ...);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;VIE (Volontariat International en Entreprise);;;;;;;;;;;0;Insatisfait(e);Très utile;Non;4;3;1;Homme;2017;118;49;0;;;;Terminé;2019;MAT;Chimie-Matériaux-Environnement
17103;Homme;2017;En activité professionnelle;Bourgogne-Franche-Comté;France (y compris DOM-COM);;CDI (Contrat de travail à durée indéterminée);;Oui;À temps plein;Plastic Omnium;5 000 salarié(e)s ou plus;Industrie automobile, aéronautique, navale, ferroviaire;;Méthodes, contrôle de production, maintenance;;ingenieur methodes;Non;Non;Non;Oui;Non;;40000;Oui;3000;Non;;Stage de fin d'études;;Stage de fin d'études;"L'adéquation avec un projet professionnel;Les perspectives d'évolution au sein de l'entreprise;Le contenu de la mission / du poste proposé;Le secteur d'activité de l'entreprise";Oui;Non;Satisfait(e);Très satisfait;Très satisfait;Satisfait;Satisfait;Ni satisfait ni insatisfait;Non;;;;;;;;;;;Non;0;Satisfait(e);Assez utile;Non;11;10;1;Homme;2017;118;49;0;France;100;100;Terminé;2020;MAT;Chimie-Matériaux-Environnement
17103;Homme;2017;En activité professionnelle;Bourgogne-Franche-Comté;France (y compris DOM-COM);;CDI (Contrat de travail à durée indéterminée);;Oui;À temps plein;Plastic Omnium;5 000 salarié(e)s ou plus;Industrie automobile, aéronautique, navale, ferroviaire;;Méthodes, contrôle de production, maintenance;;Ingénieur Méthodes;Non;Non;Non;Oui;Non;;40500;Oui;3000;Non;;Stage de fin d'études;;Stage de fin d'études;"La notoriété de l'entreprise;Les perspectives d'évolution au sein de l'entreprise;Le contenu de la mission / du poste proposé;Le secteur d'activité de l'entreprise";Oui;Non;Satisfait(e);Très satisfait;Très satisfait;Ni satisfait ni insatisfait;Satisfait;Insatisfait;Non;;;;;;;;;;;Non;0;Satisfait(e);Assez utile;Non;11;10;1;Homme;2017;118;49;0;France;100;100;Terminé;2021;MAT;Chimie-Matériaux-Environnement
17036;Femme;2017;En activité professionnelle;Auvergne-Rhône-Alpes;France (y compris DOM-COM);2;CDI (Contrat de travail à durée indéterminée), y compris CDIC;;Oui;À temps plein;CHIMIMECA;De 20 à 49 salarié(e)s;Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements;;Méthodes, contrôle de production, maintenance;;Responsable du bureau d'étude, méthodes et qualité;Oui;Non;Oui;Oui;Non;;25000;Oui;2400;Oui;500;Site Internet spécialisé dans l'emploi (APEC, ....);;"Réseaux sociaux professionnels (Viadeo, LinkedIn, ...);Site Internet spécialisé dans l'emploi (APEC, ....);Sites Internet d'entreprises";Le lieu géographique;Oui;Oui;;Ni satisfait ni insatisfait;Satisfait;Insatisfait;Très satisfait;Très satisfait;Non;;;;;;;;;;;Oui;2;Très satisfait(e);Assez utile;Oui;23;11;1;Femme;2017;118;69;100;France;100;0;Terminé;2018;IPAN;Chimie-Santé
17036;Femme;2017;En activité professionnelle;Auvergne-Rhône-Alpes;France (y compris DOM-COM);;CDI (Contrat de travail à durée indéterminée), y compris CDIC;;Oui;À temps plein;Rio Tinto Aluminium;De 50 à 249 salarié(e)s;Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements;;Assistance technique;;Ingénieur procédé carbone;Non;Non;Non;Non;Oui;"Vous traitez des projets avec un pays étranger;Vous partez régulièrement exercer des missions à l'étranger";40000;Oui;6000;Oui;200;Réseaux sociaux professionnels (LinkedIn, ...);;"Réseaux sociaux professionnels (LinkedIn, ...);Site Internet spécialisé dans l'emploi (APEC, ....);Candidature spontanée";Le contenu de la mission / du poste proposé;Oui;Non;;Très satisfait;Satisfait;Très satisfait;Satisfait;Satisfait;Non;;;;;;;;;;;Non;2;Satisfait(e);Très utile;Oui;24;12;1;Femme;2017;118;69;100;France;100;0;Terminé;2019;IPAN;
17036;Femme;2017;En activité professionnelle;Auvergne-Rhône-Alpes;France (y compris DOM-COM);;CDI (Contrat de travail à durée indéterminée);;Oui;À temps plein;Rio Tinto - Aluminium Pechiney;De 50 à 249 salarié(e)s;Industries extractives;;Assistance technique;;Ingénieur procédé;Non;Non;Non;Oui;Oui;"Vous traitez des projets avec un pays étranger;Vous partez régulièrement exercer des missions à l'étranger";41600;Oui;8000;Oui;500;Réseaux sociaux professionnels (LinkedIn, ...);;"Réseaux sociaux professionnels (LinkedIn, ...);Site Internet spécialisé dans l'emploi (APEC, ....);Sites Internet d'entreprises;Candidature spontanée";"Les perspectives d'évolution au sein de l'entreprise;Le contenu de la mission / du poste proposé;Le montant du salaire proposé";Oui;Non;Très satisfait(e);Très satisfait;Très satisfait;Très satisfait;Satisfait;Satisfait;Non;;;;;;;;;;;Non;3;Très satisfait(e);Peu utile;Oui;24;12;1;Femme;2017;118;69;100;France;100;0;Terminé;2020;IPAN;Chimie-Santé
