Anonymisation;4. SexeVerifieParLeDiplome;14. AnneeDiplomeVerifieParLeDiplome;15. ActiviteActuelle;27. EmploiLieuRegionEtranger;28. EmploiLieuPaysTerritoire;30. Option_EmploiMoisOccupation;32. EmploiContrat;34. EmploiContratAutre;35. EmploiCadre;36. EmploiTempsPleinPartiel;39. EmploiEntreprise;45. EmploiEntrepriseTaille;48. EmploiEntrepriseSecteurActivite;49. EmploiEntrepriseSecteurAutre;51. EmploiEntrepriseService;52. EmploiEntrepriseServiceDepartementAutre;53. EmploiEntreprisePoste;54. EmploiResponsabilitesHierarchiques;55. EmploiResponsabiliteBudget;56. EmploiResponsabiliteEquipe;57. EmploiResponsabiliteProjet;61. Option_EmploiInternational;62. Option_EmploiInternationalPrecision;63. EmploiSalaireBrutAnnuelHorsPrimes;64. EmploiPrimesBrutOuiNon;65. EmploiPrimesBrutOuiMontant;66. EmploiAvantagesNatureOuiNon;67. EmploiAvantagesNatureOuiMontant;69. EmploiCommentTrouve;72. EmploiCommentTrouveAutre;73. Option_EmploiMoyensRechercheEmploi;76. EmploiCritereChoix;78. EmploiAdequationNiveauQualification;79. EmploiAdequationSecteurDisciplinaire;80. EmploiSatisfaction;81. EmploiSatisfactionConditions;82. EmploiSatisfactionCollegues;83. EmploiSatisfactionRemuneration;84. EmploiSatisfactionAutonomie;85. EmploiSatisfactionLocalisation;86. EmploiChercheAutreEmploi;88. VolontariatType;89. VolontariatTypeAutre;113. TheseType;114. TheseTypeAutre;125. TheseSalaireBrutAnnuelHorsPrimes;126. ThesePrimesBrutOuiNon;127. ThesePrimesBrutOuiMontant;128. TheseAvantagesNatureOuiNon;129. TheseAvantagesNatureOuiMontant;130. TheseSalaireBrutAnnuelAvecPrimes;131. 1erEmploiDecritPrecedemment;134. 1erEmploiLapsPourTrouverApresDiplomeMois;135. Option_EcoleSatisfactionFormation;136. Option_EcoleAccompagnementProjetPro;151. Option_ScolariteCesure;152. Option_ScolariteMoisStage;153. Option_ScolariteMoisStageObligatoire;166. Tableaux_Compteur;167. Tableaux_Sexe;168. Tableaux_Promo;170. Effectifs_Promo;171. Effectifs_PromoSexe;175. Tableaux_BooleenFemmes;177. LieuTravail_FranceEtranger;178. Tableaux_BooleenCDI;190. Tableaux_Booleen1erEmploiMoinsDeuxMois;243. PROGRESSION;249. AnneeEnquete;264. Option_ScolariteFiliereFormation;265. Option_ScolariteSpecialisation
17032;Femme;2017;En thèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Thèse Cifre;;40500;Oui;2000;Non;;42500;;1;Satisfait(e);Peu utile;Oui;21;9;1;Femme;2017;118;69;100;;;;Terminé;2020;MAT;Chimie-Matériaux-Environnement
17027;Femme;2017;En activité professionnelle;Auvergne-Rhône-Alpes;France (y compris DOM-COM);3;CDI (Contrat de travail à durée indéterminée), y compris CDIC;;Non;À temps plein;Inserm;De 50 à 249 salarié(e)s;Enseignement, recherche;;Recherche-développement, études scientifiques et techniques (autre qu'informatique);;Ingénieur d'études;Oui;Non;Non;Oui;Oui;Vous traitez des projets avec un pays étranger;25104;Non;;Non;;Stage de fin d'études;;"Stage de fin d'études;Candidature spontanée";Le secteur d'activité de l'entreprise;Oui;Oui;Satisfait(e);Satisfait;Très satisfait;Insatisfait;Ni satisfait ni insatisfait;Très satisfait;Non;;;;;;;;;;;Oui;0;Satisfait(e);Assez utile;Non;12;12;1;Femme;2017;118;69;100;France;100;100;Terminé;2018;CBS;Chimie-Santé
17027;Femme;2017;En thèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Thèse académique;;21368;Non;;Non;;21368;;;Satisfait(e);Peu utile;Non;12;12;1;Femme;2017;118;69;100;;;;Terminé;2019;CBS;Chimie-Santé
17027;Femme;2017;En thèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Thèse académique;;21360;Non;;Non;;21360;;;Satisfait(e);Peu utile;Non;13;;1;Femme;2017;118;69;100;;;;Terminé;2020;CBS;Chimie-Santé
17027;Femme;2017;En activité professionnelle;Auvergne-Rhône-Alpes;France (y compris DOM-COM);6;CDI - y compris de la fonction publique;;Oui;À temps plein;Alcimed;5 000 salarié(e)s ou plus;Société de conseil ou d'ingénierie - Bureaux d'études indépendants;;Études - Conseil et expertise;;Consultant;Non;Non;Non;Oui;Oui;Vous traitez des projets avec un pays étranger;37000;Non;;Non;;Relations personnelles;;Relations personnelles;"Le lieu géographique;Le secteur d'activité de l'entreprise";Non;Non;Ni satisfait(e) ni insatisfait(e);Satisfait;Très satisfait;Ni satisfait ni insatisfait;Ni satisfait ni insatisfait;Très satisfait;Non;;;;;;;;;;;Non;0;Satisfait(e);Peu utile;Non;12;12;1;Femme;2017;118;69;100;France;100;100;Terminé;2022;CBS;Chimie-Santé
17014;Homme;2017;En activité professionnelle;Île-de-France;France (y compris DOM-COM);2;CDD (Contrat de travail à durée déterminée);;Oui;À temps plein;;5 000 salarié(e)s ou plus;Industrie pharmaceutique;;Recherche-développement, études scientifiques et techniques (autre qu'informatique);;Responsable de laboratoire de projet R&D;Oui;Oui;Oui;Oui;Oui;Vous traitez des projets avec un pays étranger;41350;Oui;4000;Non;;Stage de fin d'études;;"Stage de fin d'études;Réseaux sociaux professionnels (Viadeo, LinkedIn, ...);Candidature spontanée";;Oui;Oui;;Très satisfait;Satisfait;Satisfait;Très satisfait;Très satisfait;Non;;;;;;;;;;;Non;0;;Peu utile;Oui;23;11;1;Homme;2017;118;49;0;France;0;100;Terminé;2018;CBD2;
17014;Homme;2017;En activité professionnelle;Île-de-France;France (y compris DOM-COM);;CDD (Contrat de travail à durée déterminée);;Oui;À temps plein;;5 000 salarié(e)s ou plus;Industrie pharmaceutique;;Recherche-développement, études scientifiques et techniques (autre qu'informatique);;Responsable de projets R&D;Oui;Oui;Oui;Oui;Non;;42000;Oui;5000;Non;;Stage de fin d'études;;"Stage année césure, année professionnalisante;Stage de fin d'études;Réseaux sociaux professionnels (LinkedIn, ...);Candidature spontanée";Les perspectives d'évolution au sein de l'entreprise;Oui;Oui;Très satisfait(e);Très satisfait;Très satisfait;Satisfait;Très satisfait;Satisfait;Non;;;;;;;;;;;Non;0;Ni satisfait(e) ni insatisfait(e);Inutile;Oui;24;12;1;Homme;2017;118;49;0;France;0;100;Terminé;2019;CBD2;Chimie-Santé
17014;Homme;2017;En activité professionnelle;Île-de-France;France (y compris DOM-COM);;CDD (Contrat de travail à durée déterminée);;Oui;À temps plein;SANOFI;5 000 salarié(e)s ou plus;Industrie pharmaceutique;;Recherche-développement, études scientifiques et techniques (autre qu'informatique);;Cadre Seattle;Oui;Oui;Oui;Oui;Non;;45000;Oui;5000;Non;;Stage de fin d'études;;"Stage année césure, année professionnalisante;Stage de fin d'études;Apprentissage (embauche dans l'entreprise d'accueil du contrat)";"La notoriété de l'entreprise;Le contenu de la mission / du poste proposé;Le secteur d'activité de l'entreprise;Le montant du salaire proposé";Oui;Oui;Très satisfait(e);Très satisfait;Très satisfait;Satisfait;Très satisfait;Très satisfait;Non;;;;;;;;;;;Oui;0;Satisfait(e);Peu utile;Oui;23;11;1;Homme;2017;118;49;0;France;0;100;Terminé;2020;CBD2;Chimie-Matériaux-Environnement
17014;Homme;2017;En activité professionnelle;Île-de-France;France (y compris DOM-COM);;CDI (Contrat de travail à durée indéterminée);;;À temps plein;SANOFI;5 000 salarié(e)s ou plus;Industrie pharmaceutique;;Production - Exploitation;;Ingénieur DSP;Non;Non;Non;Non;Oui;Vous traitez des projets avec un pays étranger;47900;Oui;5000;Non;;Stage de fin d'études;;"Stage année césure, année professionnalisante;Stage de fin d'études;Candidature spontanée";"Les perspectives d'évolution au sein de l'entreprise;Le lieu géographique;Le contenu de la mission / du poste proposé;Le montant du salaire proposé";Oui;Non;;Très satisfait;Satisfait;Très satisfait;Ni satisfait ni insatisfait;Satisfait;Non;;;;;;;;;;;Non;0;Satisfait(e);Peu utile;Oui;24;3;1;Homme;2017;118;49;0;France;100;100;Terminé;2021;CBD2;Chimie-Matériaux-Environnement
17083;Femme;2017;En thèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Thèse académique;;24367;Non;;Non;;24367;;0;Satisfait(e);Assez utile;Non;11;11;1;Femme;2017;118;69;100;;;;Terminé;2018;CBS;Chimie-Santé
17083;Femme;2017;En thèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autre thèse;Financement par la Direction Générale de L'armée;24480;Non;;Non;;24480;;;Satisfait(e);Peu utile;Non;11;11;1;Femme;2017;118;69;100;;;;Terminé;2019;CBS;Chimie-Santé
17083;Femme;2017;En thèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Thèse académique;;1600;Non;;Non;;1600;;;Satisfait(e);Assez utile;Non;11;11;1;Femme;2017;118;69;100;;;;Terminé;2020;CBS;Chimie-Santé
17083;Femme;2017;En activité professionnelle;Nouvelle-Aquitaine;France (y compris DOM-COM);;CDD (Contrat de travail à durée déterminée);;Oui;À temps plein;Université de Bordeaux;;Recherche-développement scientifique;;Recherche-développement, études scientifiques et techniques (autre qu'informatique);;Chercheuse post-doctorale;Oui;Non;Non;Oui;Non;;2500;Non;;Non;;Relations personnelles;;"Réseaux sociaux professionnels (LinkedIn, ...);Site Internet spécialisé dans l'emploi (APEC, ....);Candidature spontanée;Concours";"L'adéquation avec un projet professionnel;Le lieu géographique;Le contenu de la mission / du poste proposé";Oui;Oui;;Très satisfait;Satisfait;Ni satisfait ni insatisfait;Ni satisfait ni insatisfait;Très satisfait;;;;;;;;;;;;Oui;0;Très insatisfait(e);Peu utile;Non;11;;1;Femme;2017;118;69;100;France;0;100;Terminé;2021;CBS;Chimie-Santé
17083;Femme;2017;En activité professionnelle;Nouvelle-Aquitaine;France (y compris DOM-COM);12;CDD - y compris de la fonction publique;;Oui;À temps plein;CNRS;5 000 salarié(e)s ou plus;Enseignement - Recherche;;Recherche expérimentale;;;Non;Non;Oui;Oui;Non;;32000;Non;;Non;;Relations personnelles;;;"L'adéquation avec un projet professionnel;Le lieu géographique;Le contenu de la mission / du poste proposé;Le secteur d'activité de l'entreprise";Oui;Oui;;Très satisfait;Très satisfait;Insatisfait;Satisfait;Très satisfait;Non;;;;;;;;;;;Non;0;Satisfait(e);Inutile;Non;;;1;Femme;2017;118;69;100;France;0;100;Terminé;2022;CBS;Chimie-Santé
17084;Femme;2017;En thèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Thèse académique;;1400;Non;;Non;;16800;;;Très satisfait(e);Assez utile;Non;12;12;1;Femme;2017;118;69;100;;;;Terminé;2018;MAT;
17084;Femme;2017;En thèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Thèse académique;;1400;Non;;Non;;1400;;;Très satisfait(e);Assez utile;Non;12;12;1;Femme;2017;118;69;100;;;;Terminé;2019;MAT;Chimie-Matériaux-Environnement
17084;Femme;2017;En thèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Thèse académique;;1270;Non;;Non;;1270;;;Satisfait(e);Assez utile;Non;12;12;1;Femme;2017;118;69;100;;;;Terminé;2020;MAT;Chimie-Matériaux-Environnement
17084;Femme;2017;En activité professionnelle;Étranger;Australie;;Contrat local;;Travail à l'étranger (Non concerné);À temps plein;RMIT University;5 000 salarié(e)s ou plus;Enseignement, recherche;;Recherche expérimentale;;Postdoctoral Research Fellow;Oui;Non;Non;Oui;Non;;55835;Non;;Oui;1000;Réseaux sociaux professionnels (LinkedIn, ...);;"Réseaux sociaux professionnels (LinkedIn, ...);Site Internet spécialisé dans l'emploi (APEC, ....);Sites Internet d'entreprises;Candidature spontanée";;Oui;Oui;Satisfait(e);Ni satisfait ni insatisfait;Satisfait;Très satisfait;Très satisfait;Très satisfait;Non;;;;;;;;;;;Non;0;Satisfait(e);Très utile;Non;12;12;1;Femme;2017;118;69;100;Étranger;;100;Terminé;2021;MAT;Chimie-Matériaux-Environnement
17084;Femme;2017;En activité professionnelle;Étranger;Australie;14;Contrat local;;;À temps plein;RMIT University;De 250 à 4 999 salarié(e)s;Enseignement - Recherche;;Recherche expérimentale;;Postdoctoral Researcher;Non;Non;Non;Oui;Oui;Vous êtes en poste à l'étranger;91000;Non;;Non;;Candidature spontanée;;"Réseaux sociaux professionnels (LinkedIn, ...);Candidature spontanée";"L'adéquation avec un projet professionnel;Le lieu géographique;Le contenu de la mission / du poste proposé";Oui;Oui;Très satisfait(e);Satisfait;Très satisfait;Très satisfait;Satisfait;Très satisfait;Non;;;;;;;;;;;Non;0;Très satisfait(e);Utile;Non;12;12;1;Femme;2017;118;69;100;Étranger;;100;Terminé;2022;MAT;Chimie-Matériaux-Environnement
17072;Homme;2017;En thèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Thèse académique;;14400;Non;;Non;;14400;;;Très insatisfait(e);Très utile;Non;11;10;1;Homme;2017;118;49;0;;;;Terminé;2018;MAT;Chimie-Matériaux-Environnement
17072;Homme;2017;En thèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Thèse académique;;14400;Non;;Non;;14400;;;Très insatisfait(e);Très utile;Non;12;10;1;Homme;2017;118;49;0;;;;Terminé;2019;MAT;Chimie-Matériaux-Environnement
17072;Homme;2017;En thèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Thèse académique;;15000;Non;;Non;;15000;;;Très satisfait(e);Très utile;Non;12;10;1;Homme;2017;118;49;0;;;;Terminé;2020;MAT;Chimie-Matériaux-Environnement
17072;Homme;2017;En thèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Contrat à durée déterminée (CDD);16000;Non;;Non;;16000;;;Satisfait(e);Assez utile;Non;12;10;1;Homme;2017;118;49;0;;;;Terminé;2021;MAT;Chimie-Matériaux-Environnement
17072;Homme;2017;En recherche d'emploi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Satisfait(e);Utile;Non;11;;1;Homme;2017;118;49;0;;;;Terminé;2022;MAT;Chimie-Matériaux-Environnement
17011;Femme;2017;En activité professionnelle;Provence-Alpes-Côte d’Azur;France (y compris DOM-COM);3;CDD (Contrat de travail à durée déterminée);;Oui;À temps plein;Laboratoires M&L;De 250 à 4 999 salarié(e)s;Industrie chimique;Cosmétiques;Production - Exploitation;;Project leader New Product Development;Oui;Non;Non;Oui;Oui;Vous traitez des projets avec un pays étranger;35000;Oui;200;Non;;Sites Internet d'entreprises;;"Site Internet spécialisé dans l'emploi (APEC, ....);Sites Internet d'entreprises;Relations personnelles";L'adéquation avec un projet professionnel;Oui;Oui;Très satisfait(e);Très satisfait;Très satisfait;Satisfait;Très satisfait;Insatisfait;Oui;;;;;;;;;;;Oui;1;Très satisfait(e);Assez utile;Non;10;10;1;Femme;2017;118;69;100;France;0;100;Terminé;2018;IPAN;Chimie-Matériaux-Environnement
17011;Femme;2017;En activité professionnelle;Provence-Alpes-Côte d’Azur;France (y compris DOM-COM);;CDD (Contrat de travail à durée déterminée);;Oui;À temps plein;Laboratoires M&L;De 250 à 4 999 salarié(e)s;Industrie chimique;;Production - Exploitation;;Coordinateur sous-traitance;Non;Non;Non;Oui;Oui;Vous traitez des projets avec un pays étranger;36000;Oui;1500;Oui;168;Sites Internet d'entreprises;;"Réseaux sociaux professionnels (LinkedIn, ...);Site Internet spécialisé dans l'emploi (APEC, ....);Sites Internet d'entreprises;Candidature spontanée";Le secteur d'activité de l'entreprise;Oui;Oui;Satisfait(e);Très satisfait;Très satisfait;Satisfait;Très satisfait;Très satisfait;Oui;;;;;;;;;;;Non;2;Satisfait(e);Très utile;Non;10;8;1;Femme;2017;118;69;100;France;0;0;Terminé;2019;IPAN;
17011;Femme;2017;En recherche d'emploi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;Satisfait(e);Très utile;Non;10;8;1;Femme;2017;118;69;100;;;;Terminé;2022;IPAN;Chimie-Santé
17015;Homme;2017;En activité professionnelle;Occitanie;France (y compris DOM-COM);0;CDD (Contrat de travail à durée déterminée);;Oui;À temps plein;Evotec (France) SAS;De 250 à 4 999 salarié(e)s;Industrie pharmaceutique;;Recherche-développement, études scientifiques et techniques (autre qu'informatique);;Cadre de Laboratoire en Chimie Organique;Non;Non;Non;Oui;Non;;35146;Oui;2500;Non;;Réseau des anciens élèves;;"Réseau des anciens élèves;Réseaux sociaux professionnels (Viadeo, LinkedIn, ...);Candidature spontanée";Le contenu de la mission / du poste proposé;Oui;Oui;;;;Très satisfait;;Satisfait;Non;;;;;;;;;;;Oui;4;Très satisfait(e);Assez utile;Non;11;11;1;Homme;2017;118;49;0;France;0;0;Terminé;2018;COF;Chimie-Santé
17015;Homme;2017;En activité professionnelle;Occitanie;France (y compris DOM-COM);;CDD (Contrat de travail à durée déterminée);;Oui;À temps plein;EVOTEC;De 250 à 4 999 salarié(e)s;Industrie pharmaceutique;;Recherche expérimentale;;Cadre de laboratoire en chimie organique;Non;Non;Non;Non;Non;;35143;Oui;1700;Non;;Réseau des anciens élèves;;"Réseau des anciens élèves;Réseaux sociaux professionnels (LinkedIn, ...);Site Internet spécialisé dans l'emploi (APEC, ....);Candidature spontanée";Le secteur d'activité de l'entreprise;Oui;Oui;Satisfait(e);Satisfait;Très satisfait;Satisfait;Satisfait;Satisfait;Non;;;;;;;;;;;Oui;4;Très satisfait(e);Assez utile;Non;11;11;1;Homme;2017;118;49;0;France;0;0;Terminé;2019;COF;Chimie-Santé
17015;Homme;2017;En activité professionnelle;Occitanie;France (y compris DOM-COM);;CDI (Contrat de travail à durée indéterminée);;Oui;À temps plein;EVOTEC (FRANCE) SAS;De 250 à 4 999 salarié(e)s;Industrie pharmaceutique;;Recherche-développement, études scientifiques et techniques (autre qu'informatique);;Cadre de laboratoire en chimie organique;Non;Non;Non;Non;Non;;35300;Oui;2500;Oui;700;Réseau des anciens élèves;;"Réseau des anciens élèves;Réseaux sociaux professionnels (LinkedIn, ...);Relations personnelles";"Le contenu de la mission / du poste proposé;Le secteur d'activité de l'entreprise";Oui;Oui;Satisfait(e);Satisfait;Très satisfait;Très satisfait;Ni satisfait ni insatisfait;Insatisfait;Oui;;;;;;;;;;;Oui;5;Très satisfait(e);Assez utile;Non;11;11;1;Homme;2017;118;49;0;France;100;0;Terminé;2020;COF;Chimie-Santé
17015;Homme;2017;En activité professionnelle;Occitanie;France (y compris DOM-COM);;CDI (Contrat de travail à durée indéterminée);;Oui;À temps plein;Ecotec (France) SAS;De 250 à 4 999 salarié(e)s;Industrie pharmaceutique;;Recherche-développement, études scientifiques et techniques (autre qu'informatique);;Cadre de laboratoire en chimie organique;Non;Non;Non;Non;Non;;36000;Non;;Oui;700;Réseau des anciens élèves;;"Réseau des anciens élèves;Réseaux sociaux professionnels (LinkedIn, ...);Candidature spontanée";"Le lieu géographique;Le secteur d'activité de l'entreprise";Non;Oui;;Ni satisfait ni insatisfait;Très satisfait;Satisfait;Insatisfait;Très insatisfait;Oui;;;;;;;;;;;Oui;5;Très satisfait(e);Assez utile;Non;11;11;1;Homme;2017;118;49;0;France;100;0;Terminé;2021;COF;Chimie-Santé
17015;Homme;2017;En activité professionnelle;Auvergne-Rhône-Alpes;France (y compris DOM-COM);0;CDI - y compris de la fonction publique;;Oui;À temps plein;Evotec ID Lyon;De 250 à 4 999 salarié(e)s;Industrie pharmaceutique;;Recherche-développement, études scientifiques et techniques (autre qu'informatique);;Research Associate;Non;Non;Non;Non;Non;;40000;Oui;1500;Oui;1300;Réseau des anciens élèves;;"Stage de fin d'études;Réseau des anciens élèves;Réseaux sociaux professionnels (LinkedIn, ...)";"L'adéquation avec un projet professionnel;Le lieu géographique;Le montant du salaire proposé";Oui;Oui;Très satisfait(e);Satisfait;Très satisfait;Satisfait;Ni satisfait ni insatisfait;Très satisfait;Non;;;;;;;;;;;Non;4;Très satisfait(e);Peu utile;Non;11;11;1;Homme;2017;118;49;0;France;100;0;Terminé;2022;COF;Chimie-Santé
17306;Homme;2017;En activité professionnelle;Étranger;Royaume-Uni;;Contrat local;;Travail à l'étranger (Non concerné);À temps plein;Sodexo;5 000 salarié(e)s ou plus;Autre secteur;Services aux entreprises, administrations, collectivités;Recherche-développement, études scientifiques et techniques (autre qu'informatique);;Research technician;Non;Non;Non;Non;Non;;26668;Non;;Non;;Réseaux sociaux professionnels (LinkedIn, ...);;"Réseaux sociaux professionnels (LinkedIn, ...);Site Internet spécialisé dans l'emploi (APEC, ....)";Le lieu géographique;Non;Oui;;Satisfait;Satisfait;Insatisfait;Très satisfait;Très satisfait;Non;;;;;;;;;;;Oui;3;Satisfait(e);Inutile;Non;17;11;1;Homme;2017;118;49;0;Étranger;;0;Terminé;2019;CNE;Chimie-Matériaux-Environnement
17306;Homme;2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Homme;2017;;;;;;;En cours;2020;;
17306;Homme;2017;En activité professionnelle;Étranger;Royaume-Uni;;Contrat local;;Travail à l'étranger (Non concerné);À temps plein;PerkinElmer;5 000 salarié(e)s ou plus;Santé humaine et action sociale;;Recherche-développement, études scientifiques et techniques (autre qu'informatique);;Research Technician;Non;Non;Non;Non;Non;;27000;Oui;500;Non;;Réseaux sociaux professionnels (LinkedIn, ...);;"Réseaux sociaux professionnels (LinkedIn, ...);Site Internet spécialisé dans l'emploi (APEC, ....);Sites Internet d'entreprises;Démarché(e) par un ""chasseur de têtes""";"Le lieu géographique;Le contenu de la mission / du poste proposé";Non;Oui;Très satisfait(e);Très satisfait;Satisfait;Satisfait;Satisfait;Très satisfait;Non;;;;;;;;;;;Oui;4;Satisfait(e);Inutile;Non;17;11;1;Homme;2017;118;49;0;Étranger;;0;Terminé;2021;CNE;Chimie-Matériaux-Environnement
17085;Femme;2017;En thèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autre thèse;These industrielle en collaboration avec GlaxoSmithKline et l'Universite de Strathclyde (Glasgow);22029;Non;;Non;;22029;;;Satisfait(e);Très utile;Oui;23;11;1;Femme;2017;118;69;100;;;;Terminé;2018;COF;Chimie-Santé
17085;Femme;2017;En thèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autre thèse;GSK/University of Strathclyde Collaborative Industrial PhD;22851;Non;;Non;;22851;;;Satisfait(e);Assez utile;Oui;23;11;1;Femme;2017;118;69;100;;;;Terminé;2019;COF;Chimie-Santé
17085;Femme;2017;En thèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Non;Contrat à durée déterminée (CDD);20000;Non;;Non;;20000;;;Satisfait(e);Assez utile;Oui;23;11;1;Femme;2017;118;69;100;;;;Terminé;2021;COF;Chimie-Santé
17307;Homme;2017;En activité professionnelle;Centre-Val de Loire;France (y compris DOM-COM);;CDI (Contrat de travail à durée indéterminée), y compris CDIC;;Oui;À temps plein;Capsis;De 50 à 249 salarié(e)s;Production et distribution d'eau  assainissement, gestion des déchets et dépollution;;Production - Exploitation;;;Oui;Oui;Oui;Oui;Non;;35000;Oui;;Non;;Site Internet spécialisé dans l'emploi (APEC, ....);;"Site Internet spécialisé dans l'emploi (APEC, ....);Sites Internet d'entreprises;Candidature spontanée;Relations personnelles";Le contenu de la mission / du poste proposé;Oui;Oui;Très satisfait(e);Satisfait;Très satisfait;Satisfait;Très satisfait;Ni satisfait ni insatisfait;Non;;;;;;;;;;;Oui;5;Satisfait(e);Peu utile;Non;11;11;1;Homme;2017;118;49;0;France;100;0;Terminé;2019;DGE;
17056;Femme;2017;En poursuite d'études (hors thèse);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ni satisfait(e) ni insatisfait(e);Inutile;Oui;12;12;1;Femme;2017;118;69;100;;;;Terminé;2018;IPAN;
17065;Homme;2017;En recherche d'emploi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Satisfait(e);Très utile;Non;12;12;1;Homme;2017;118;49;0;;;;Terminé;2018;COF;
17086;Homme;2017;En thèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Thèse académique;;1800;Non;;Non;;21600;;;Satisfait(e);Très utile;Oui;23;11;1;Homme;2017;118;49;0;;;;Terminé;2018;CBS;Chimie-Santé
17086;Homme;2017;En thèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Thèse académique;;23000;Non;;Non;;23000;;;Satisfait(e);Très utile;Oui;24;12;1;Homme;2017;118;49;0;;;;Terminé;2019;Erasmus (étranger);Chimie-Santé
17086;Homme;2017;En thèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Thèse académique;;23000;Non;;Non;;23000;;;Satisfait(e);Très utile;Oui;24;12;1;Homme;2017;118;49;0;;;;Terminé;2020;Erasmus (étranger);Chimie-Santé
17101;Femme;2017;En thèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Thèse académique;;21000;Non;;Non;;21000;;;Satisfait(e);Assez utile;Non;18;;1;Femme;2017;118;69;100;;;;Terminé;2018;COF;Chimie-Santé
17101;Femme;2017;En thèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Thèse académique;;;Non;;Non;;;;;Très satisfait(e);Très utile;Non;;;1;Femme;2017;118;69;100;;;;Terminé;2019;COF;Chimie-Santé
17101;Femme;2017;En thèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Thèse académique;;;Non;;Non;;;;;Satisfait(e);;Non;;;1;Femme;2017;118;69;100;;;;Terminé;2020;COF;Chimie-Santé
17101;Femme;2017;En recherche d'emploi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Très satisfait(e);Assez utile;Non;;;1;Femme;2017;118;69;100;;;;Terminé;2021;COF;Chimie-Santé
17101;Femme;2017;En activité professionnelle;Île-de-France;France (y compris DOM-COM);1;CDD - y compris de la fonction publique;;Oui;À temps plein;CNRS;;Enseignement - Recherche;;Recherche expérimentale;;Chercheuse post-doctorante;Non;Non;Non;Non;Non;;;Non;;Non;;Réseaux sociaux professionnels (LinkedIn, ...);;"Réseaux sociaux professionnels (LinkedIn, ...);Site internet spécialisé dans l'emploi (APEC, ....);Sites internet d'entreprises;Candidature spontanée";"L'adéquation avec un projet professionnel;Le lieu géographique;Le contenu de la mission / du poste proposé;Le secteur d'activité de l'entreprise";Oui;Oui;Satisfait(e);Satisfait;Très satisfait;Satisfait;Très satisfait;Très satisfait;Non;;;;;;;;;;;Oui;12;Satisfait(e);Utile;Non;;;1;Femme;2017;118;69;100;France;0;0;Terminé;2022;COF;Chimie-Santé
